# locales: en-US, de-DE, es-ES, fr-FR, it-IT, pl-PL, pt-BR, ru-RU, zh-Hans
# Generated by Scripts/Localization/locale_spreadsheet.py --export-pending
# Only rows with at least one pending (untranslated / commented-stub) cell.
# Fill blanks; re-run --import to write back into the hjson files.
Key	en-US	de-DE	es-ES	fr-FR	it-IT	pl-PL	pt-BR	ru-RU	zh-Hans
Configs.InfiniteOverride.Default.Tooltip	""								
Configs.InfiniteOverride.Default.Label	Default		Predeterminado						
Configs.InfiniteOverride.Tooltip	""								
Configs.OverlayRenderMode.Tooltip	""								
Configs.OverlayRenderMode.Auto.Label	Auto		Auto						
Configs.OverlayRenderMode.Auto.Tooltip	""								
Configs.OverlayRenderMode.AlwaysFullShape.Label	Always Full Shape		Siempre Forma Completa						
Configs.OverlayRenderMode.AlwaysFullShape.Tooltip	""								
Configs.OverlayRenderMode.AlwaysBoundingBox.Label	Always Bounding Box		Siempre Cuadro Delimitador						
Configs.OverlayRenderMode.AlwaysBoundingBox.Tooltip	""								
Configs.StampRenderMode.Tooltip	""								
Configs.StampRenderMode.Precise.Label	Precise		Preciso						
Configs.StampRenderMode.Precise.Tooltip	""								
Configs.StampRenderMode.Smooth.Label	Smooth		Suave						
Configs.StampRenderMode.Smooth.Tooltip	""								
Configs.WandConfig.DisplayName	Wand Config		Configuración de Varita						
Configs.WandConfig.EnableInfiniteResource.Label	Enable Infinite Resource		Activar Recursos Infinitos						
Configs.WandConfig.EnableInfiniteResource.Tooltip	""								
Configs.WandConfig.InfiniteTileThreshold.Label	Infinite Tile Threshold		Umbral de Bloques Infinitos						
Configs.WandConfig.InfiniteTileThreshold.Tooltip	""								
Configs.WandConfig.InfiniteWallThreshold.Label	Infinite Wall Threshold		Umbral de Paredes Infinitas						
Configs.WandConfig.InfiniteWallThreshold.Tooltip	""								
Configs.WandConfig.InfiniteGrassSeedThreshold.Label	Infinite Grass Seed Threshold		Umbral de Semillas de Hierba Infinitas						
Configs.WandConfig.InfiniteGrassSeedThreshold.Tooltip	""								
Configs.WandConfig.InfiniteWireThreshold.Label	Infinite Wire Threshold		Umbral de Cables Infinitos						
Configs.WandConfig.InfiniteWireThreshold.Tooltip	""								
Configs.WandConfig.InfiniteActuatorThreshold.Label	Infinite Actuator Threshold		Umbral de Actuadores Infinitos						
Configs.WandConfig.InfiniteActuatorThreshold.Tooltip	""								
Configs.WandConfig.InfiniteTiles.Label	Infinite Tiles		Bloques Infinitos						
Configs.WandConfig.InfiniteTiles.Tooltip	""								
Configs.WandConfig.InfiniteWalls.Label	Infinite Walls		Paredes Infinitas						
Configs.WandConfig.InfiniteWalls.Tooltip	""								
Configs.WandConfig.InfiniteGrassSeeds.Label	Infinite Grass Seeds		Semillas de Hierba Infinitas						
Configs.WandConfig.InfiniteGrassSeeds.Tooltip	""								
Configs.WandConfig.InfiniteWires.Label	Infinite Wires		Cables Infinitos						
Configs.WandConfig.InfiniteWires.Tooltip	""								
Configs.WandConfig.InfiniteActuators.Label	Infinite Actuators		Actuadores Infinitos						
Configs.WandConfig.InfiniteActuators.Tooltip	""								
Configs.WandConfig.SmallSelectionCap.Label	Small Selection Cap		Límite de Selección Pequeña						
Configs.WandConfig.SmallSelectionCap.Tooltip	""								
Configs.WandConfig.BigSelectionCap.Label	Big Selection Cap		Límite de Selección Grande						
Configs.WandConfig.BigSelectionCap.Tooltip	""								
Configs.WandConfig.HollowSelectionCap.Label	Hollow Selection Cap		Límite de Selección Hueca						
Configs.WandConfig.HollowSelectionCap.Tooltip	""								
Configs.WandConfig.CoatingSelectionCap.Label	Coating Wand Cap		Límite de Varita de Revestimiento						
Configs.WandConfig.CoatingSelectionCap.Tooltip	""								
Configs.WandConfig.SuppressDrops.Label	Suppress Drops		Suprimir Objetos Recogibles						
Configs.WandConfig.SuppressDrops.Tooltip	""								
Configs.WandConfig.BypassPickaxePower.Label	Bypass Pickaxe Power		Ignorar Poder de Pico						
Configs.WandConfig.BypassPickaxePower.Tooltip	""								
Configs.WandConfig.AllowDemonAltarDestruction.Label	Allow Demon Altar Destruction		Permitir Destrucción de Altares Demoníacos						
Configs.WandConfig.AllowDemonAltarDestruction.Tooltip	""								
Configs.WandConfig.AllowDelicateTileDestruction.Label	Allow Delicate Tile Destruction		Permitir Destrucción de Bloques Delicados						
Configs.WandConfig.AllowDelicateTileDestruction.Tooltip	""								
Configs.WandConfig.IgnoreLockedKeyRequirements.Label	Ignore Locked Key Requirements		Ignorar Requisitos de Llaves Cerradas						
Configs.WandConfig.IgnoreLockedKeyRequirements.Tooltip	""								
Configs.WandConfig.AutoOpenChestsOnDestruction.Label	Auto Open Chests On Destruction		Abrir Cofres Automáticamente al Destruir						
Configs.WandConfig.AutoOpenChestsOnDestruction.Tooltip	""								
Configs.WandConfig.VacuumItems.Label	Vacuum Items		Aspirar Objetos						
Configs.WandConfig.VacuumItems.Tooltip	""								
Configs.WandConfig.EnableUndoCommand.Label	Enable Undo Commands		Activar Comandos de Deshacer						
Configs.WandConfig.EnableUndoCommand.Tooltip	""								
Configs.WandConfig.MaxOutlineThickness.Label	Max Outline Thickness		Grosor Máximo del Contorno						
Configs.WandConfig.MaxOutlineThickness.Tooltip	""								
Configs.WandConfig.EnableProgressiveMode.Label	Enable Progressive Mode		Activar Modo Progresivo						
Configs.WandConfig.EnableProgressiveMode.Tooltip	""								
Configs.WandConfig.ProgressiveBatchSize.Label	Progressive Batch Size		Tamaño de Lote Progresivo						
Configs.WandConfig.ProgressiveBatchSize.Tooltip	""								
Configs.WandConfig.ProgressiveInterval.Label	Progressive Interval		Intervalo Progresivo						
Configs.WandConfig.ProgressiveInterval.Tooltip	""								
Configs.WandConfig.ShowLoreTooltips.Label	Show Lore Tooltips		Mostrar Descripciones de Lore						
Configs.WandConfig.ShowLoreTooltips.Tooltip	""								
Configs.WandConfig.SafekeepingClearThreshold.Label	Safekeeping Clear Threshold		Umbral de Limpieza de Resguardo						
Configs.WandConfig.SafekeepingClearThreshold.Tooltip	""								
Configs.WandConfig.EnableWandSounds.Label	Enable Wand Sounds		Activar Sonidos de Varita						
Configs.WandConfig.EnableWandSounds.Tooltip	""								
Configs.WandConfig.OverlayRenderMode.Label	Overlay Render Mode		Modo de Renderizado de Capa de Vista Previa						
Configs.WandConfig.OverlayRenderMode.Tooltip	""								
Configs.WandConfig.IsInfiniteForWires.Label	Is Infinite For Wires		Cables Infinitos						
Configs.WandConfig.IsInfiniteForWires.Tooltip	""								
Configs.WandConfig.IsInfiniteForActuators.Label	Is Infinite For Actuators		Activadores Infinitos						
Configs.WandConfig.IsInfiniteForActuators.Tooltip	""								
Configs.WandConfig.EnableCarefreeMode.Label	Enable Carefree Mode		Activar Modo Despreocupado						
Configs.WandConfig.EnableCarefreeMode.Tooltip	""								
Configs.WandConfig.CarefreeSuppressDrops.Label	Carefree: Suppress Drops		Modo Despreocupado: Suprimir Objetos Recogibles						
Configs.WandConfig.CarefreeSuppressDrops.Tooltip	""								
Configs.WandConfig.CarefreeAllowDemonAltarDestruction.Label	Carefree: Allow Demon Altar Destruction		Modo Despreocupado: Permitir Destrucción de Altares Demoníacos						
Configs.WandConfig.CarefreeAllowDemonAltarDestruction.Tooltip	""								
Configs.WandConfig.CarefreeAllowDelicateTileDestruction.Label	Carefree: Allow Delicate Tile Destruction		Modo Despreocupado: Permitir Destrucción de Bloques Delicados						
Configs.WandConfig.CarefreeAllowDelicateTileDestruction.Tooltip	""								
Configs.NonOceanWaterproofTorch.CoralTorch.Label	Coral Torch		Antorcha de Coral						
Configs.NonOceanWaterproofTorch.CoralTorch.Tooltip	""								
Configs.NonOceanWaterproofTorch.IchorTorch.Tooltip	""								
Configs.NonOceanWaterproofTorch.IchorTorch.Label	Ichor Torch		Antorcha de Icor						
Configs.NonOceanWaterproofTorch.CursedTorch.Tooltip	""								
Configs.NonOceanWaterproofTorch.CursedTorch.Label	Cursed Torch		Antorcha Maldita						
Configs.NonOceanWaterproofTorch.EvilTorch.Tooltip	""								
Configs.NonOceanWaterproofTorch.EvilTorch.Label	Evil Torch		Antorcha Maligna						
Configs.NonOceanWaterproofTorch.Tooltip	""								
Configs.OceanWaterproofTorch.IchorTorch.Tooltip	""								
Configs.OceanWaterproofTorch.IchorTorch.Label	Ichor Torch		Antorcha de Icor						
Configs.OceanWaterproofTorch.CursedTorch.Tooltip	""								
Configs.OceanWaterproofTorch.CursedTorch.Label	Cursed Torch		Antorcha Maldita						
Configs.OceanWaterproofTorch.EvilTorch.Tooltip	""								
Configs.OceanWaterproofTorch.EvilTorch.Label	Evil Torch		Antorcha Maligna						
Configs.OceanWaterproofTorch.CoralTorch.Tooltip	""								
Configs.OceanWaterproofTorch.CoralTorch.Label	Coral Torch		Antorcha de Coral						
Configs.OceanWaterproofTorch.Tooltip	""								
Configs.ShapeMode.Hollow.Tooltip	""								
Configs.ShapeMode.Hollow.Label	Hollow		Hueco						
Configs.ShapeMode.Filled.Tooltip	""								
Configs.ShapeMode.Filled.Label	Filled		Relleno						
Configs.ShapeMode.Tooltip	""								
Configs.ShapeType.Mold.Tooltip	""								
Configs.ShapeType.Mold.Label	Mold		Molde						
Configs.ShapeType.StraightLine.Tooltip	""								
Configs.ShapeType.StraightLine.Label	Straight Line		Línea Recta						
Configs.ShapeType.CardinalLine.Tooltip	""								
Configs.ShapeType.CardinalLine.Label	Cardinal Line		Línea Cardinal						
Configs.ShapeType.Elbow.Tooltip	""								
Configs.ShapeType.Elbow.Label	Elbow		Codo						
Configs.ShapeType.Triangle.Tooltip	""								
Configs.ShapeType.Triangle.Label	Triangle		Triángulo						
Configs.ShapeType.Diamond.Tooltip	""								
Configs.ShapeType.Diamond.Label	Diamond		Diamante						
Configs.ShapeType.Ellipse.Tooltip	""								
Configs.ShapeType.Ellipse.Label	Ellipse		Elipse						
Configs.ShapeType.Rectangle.Tooltip	""								
Configs.ShapeType.Rectangle.Label	Rectangle		Rectángulo						
Configs.ShapeType.Tooltip	""								
Configs.LavaRainStyle.Embers.Label	Embers		Brasas						
Configs.LavaRainStyle.Embers.Tooltip	Bright glowing core only — crisp, low-density (default).		Solo núcleo brillante — nítido, baja densidad (predeterminado).						
Configs.LavaRainStyle.SolarFlare.Label	Solar Flare		Llamarada Solar						
Configs.LavaRainStyle.SolarFlare.Tooltip	Slower, larger, dreamier blobs.		Gotas más lentas, grandes y etéreas.						
Configs.LavaRainStyle.Both.Label	Both		Ambas						
Configs.LavaRainStyle.Both.Tooltip	Combined layered look — denser, busier.		Aspecto combinado en capas — más denso y cargado.						
Configs.LavaRainStyle.Tooltip	""								
Configs.BlockExhaustionMode.NextBlock.Label	Next Block		Siguiente Bloque						
Configs.BlockExhaustionMode.NextBlock.Tooltip	Auto-switch to the next matching block in inventory and continue (default).		Cambiar automáticamente al siguiente bloque compatible en el inventario y continuar (predeterminado).						
Configs.BlockExhaustionMode.Cancel.Label	Cancel		Cancelar						
Configs.BlockExhaustionMode.Cancel.Tooltip	Pre-check stock and refuse to start unless every tile can be placed.		Verificar existencias antes y rechazar iniciar a menos que cada bloque pueda ser colocado.						
Configs.BlockExhaustionMode.Interrupt.Label	Interrupt		Interrumpir						
Configs.BlockExhaustionMode.Interrupt.Tooltip	Stop at the first missing block, leaving placed tiles in place.		Detenerse en el primer bloque faltante, dejando los bloques que se pudieron colocar						
Configs.BlockExhaustionMode.Tooltip	""								
Items.WandOfDismantlingInstant.Tooltip	""		""	""					
Items.WandOfDismantlingInstant.DisplayName	Wand Of Dismantling Instant		Varita de Desmantelamiento (Instantáneo)	Baguette de démantèlement (Instantanée)					
Items.WandOfDismantlingSelect.Tooltip	""		""	""					
Items.WandOfDismantlingSelect.DisplayName	Wand Of Dismantling Select		Varita de Desmantelamiento (Selección)	Baguette de démantèlement (Sélection)					
Items.WandOfDismantlingConfirm.Tooltip	""		""	""					
Items.WandOfDismantlingConfirm.DisplayName	Wand Of Dismantling Confirm		Varita de Desmantelamiento (Confirmar)	Baguette de démantèlement (Confirmation)					
Items.WandOfBuildingInstant.DisplayName	Wand of Building (Instant)		Varita de Construcción (Instantáneo)	Baguette de construction (Instantanée)					
Items.WandOfBuildingInstant.Tooltip	Places tiles in a selected area		Coloca Bloques en un área seleccionada	Place des blocs dans une zone sélectionnée					
Items.WandOfBuildingSelect.DisplayName	Wand of Building (Select)		Varita de Construcción (Selección)	Baguette de construction (Sélection)					
Items.WandOfBuildingSelect.Tooltip	Places tiles in a selected area		Coloca Bloques en un área seleccionada	Place des blocs dans une zone sélectionnée					
Items.WandOfBuildingConfirm.DisplayName	Wand of Building (Confirm)		Varita de Construcción (Confirmar)	Baguette de construction (Confirmation)					
Items.WandOfBuildingConfirm.Tooltip	Places tiles in a selected area		Coloca Bloques en un área seleccionada	Place des blocs dans une zone sélectionnée					
Items.WandOfReplacementInstant.DisplayName	Wand of Replacement (Instant)		Varita de Reemplazo (Instantáneo)	Baguette de remplacement (Instantanée)					
Items.WandOfReplacementInstant.Tooltip	Replaces tiles in a selected area		Reemplaza Bloques en un área seleccionada	Remplace des blocs dans une zone sélectionnée					
Items.WandOfReplacementSelect.DisplayName	Wand of Replacement (Select)		Varita de Reemplazo (Selección)	Baguette de remplacement (Sélection)					
Items.WandOfReplacementSelect.Tooltip	Replaces tiles in a selected area		Reemplaza Bloques en un área seleccionada	Remplace des blocs dans une zone sélectionnée					
Items.WandOfReplacementConfirm.DisplayName	Wand of Replacement (Confirm)		Varita de Reemplazo (Confirmar)	Baguette de remplacement (Confirmation)					
Items.WandOfReplacementConfirm.Tooltip	Replaces tiles in a selected area		Reemplaza Bloques en un área seleccionada	Remplace des blocs dans une zone sélectionnée					
Items.WandOfWiringInstant.DisplayName	Wand of Wiring (Instant)		Varita de Cableado (Instantáneo)	Baguette de câblage (Instantanée)					
Items.WandOfWiringInstant.Tooltip	Places or removes wires and actuators in a selected area		Coloca o quita cables y actuadores en un área seleccionada	Place ou retire des fils et des actionneurs dans une zone sélectionnée					
Items.WandOfWiringSelect.DisplayName	Wand of Wiring (Select)		Varita de Cableado (Selección)	Baguette de câblage (Sélection)					
Items.WandOfWiringSelect.Tooltip	Places or removes wires and actuators in a selected area		Coloca o quita cables y actuadores en un área seleccionada	Place ou retire des fils et des actionneurs dans une zone sélectionnée					
Items.WandOfWiringConfirm.DisplayName	Wand of Wiring (Confirm)		Varita de Cableado (Confirmar)	Baguette de câblage (Confirmation)					
Items.WandOfWiringConfirm.Tooltip	Places or removes wires and actuators in a selected area		Coloca o quita cables y actuadores en un área seleccionada	Place ou retire des fils et des actionneurs dans une zone sélectionnée					
Items.WandOfBuildingStamp.DisplayName	Wand of Building (Stamp)		Varita de Construcción (Sello)	Baguette de construction (Tampon)					
Items.WandOfBuildingStamp.Tooltip	Define a shape once, then stamp it repeatedly		Define una forma una vez, luego repítela con el sello	Définissez une forme une fois, puis reproduisez-la avec le tampon					
Items.WandOfDismantlingStamp.Tooltip	""		""	""					
Items.WandOfDismantlingStamp.DisplayName	Wand Of Dismantling Stamp		Varita de Desmantelamiento (Sello)	Baguette de démantèlement (Tampon)					
Items.WandOfReplacementStamp.DisplayName	Wand of Replacement (Stamp)		Varita de Reemplazo (Sello)	Baguette de remplacement (Tampon)					
Items.WandOfReplacementStamp.Tooltip	Define a replacement area once, then stamp it repeatedly		Define un área de reemplazo una vez, luego repítela con el sello	Définissez une zone de remplacement une fois, puis reproduisez-la avec le tampon					
Items.WandOfWiringStamp.DisplayName	Wand of Wiring (Stamp)		Varita de Cableado (Sello)	Baguette de câblage (Tampon)					
Items.WandOfWiringStamp.Tooltip	Define a wiring area once, then stamp it repeatedly		Define un área de cableado una vez, luego repítela con el sello	Définissez une zone de câblage une fois, puis reproduisez-la avec le tampon					
Items.WandOfSafekeepingInstant.DisplayName	Wand of Safekeeping (Instant)		Varita de Preservación (Instantánea)	Baguette de préservation (Instantanée)					
Items.WandOfSafekeepingSelect.DisplayName	Wand of Safekeeping (Select)		Varita de Preservación (Selección)	Baguette de préservation (Sélection)					
Items.WandOfSafekeepingConfirm.DisplayName	Wand of Safekeeping (Confirm)		Varita de Preservación (Confirmar)	Baguette de préservation (Confirmation)					
Items.WandOfSafekeepingStamp.DisplayName	Wand of Safekeeping (Stamp)		Varita de Preservación (Sello)	Baguette de préservation (Tampon)					
Items.WandOfCoatingInstant.DisplayName	Wand of Coating (Instant)		Varita de Revestimiento (Instantánea)						
Items.WandOfCoatingInstant.Tooltip	Paints, scrapes, or de-mosses tiles and walls in a selected area		Pinta, raspa o elimina musgo de bloques y paredes en un área seleccionada						
Items.WandOfCoatingSelect.DisplayName	Wand of Coating (Select)		Varita de Revestimiento (Seleccionar)						
Items.WandOfCoatingSelect.Tooltip	Paints, scrapes, or de-mosses tiles and walls in a selected area		Pinta, raspa o elimina musgo de bloques y paredes en un área seleccionada						
Items.WandOfCoatingConfirm.DisplayName	Wand of Coating (Confirm)		Varita de Revestimiento (Confirmar)						
Items.WandOfCoatingConfirm.Tooltip	Paints, scrapes, or de-mosses tiles and walls in a selected area		Pinta, raspa o elimina musgo de bloques y paredes en un área seleccionada						
Items.WandOfCoatingStamp.DisplayName	Wand of Coating (Stamp)		Varita de Revestimiento (Sello)						
Items.WandOfCoatingStamp.Tooltip	Define a coating area once, then stamp it repeatedly		Define un área de revestimiento una vez, luego estámpala repetidamente						
Items.WandOfFluidsConfirm.DisplayName	Wand Of Fluids Confirm		Varita de Fluidos (Confirmar)						
Items.WandOfFluidsConfirm.Tooltip	""								
Items.WandOfFluidsInstant.DisplayName	Wand Of Fluids Instant		Varita de Fluidos (Instantánea)						
Items.WandOfFluidsInstant.Tooltip	""								
Items.WandOfFluidsSelect.DisplayName	Wand Of Fluids Select		Varita de Fluidos (Seleccionar)						
Items.WandOfFluidsSelect.Tooltip	""								
Items.WandOfFluidsStamp.DisplayName	Wand Of Fluids Stamp		Varita de Fluidos (Sello)						
Items.WandOfFluidsStamp.Tooltip	""								
Items.WandOfTorchesInstant.DisplayName	Wand of Torches (Instant)		Varita de Antorchas (Instantánea)						
Items.WandOfTorchesInstant.Tooltip	Places torches in a tiling pattern across a selected area		Coloca antorchas en un patrón repetido a lo largo de un área seleccionada						
Items.WandOfTorchesSelect.DisplayName	Wand of Torches (Select)		Varita de Antorchas (Seleccionar)						
Items.WandOfTorchesSelect.Tooltip	Places torches in a tiling pattern across a selected area		Coloca antorchas en un patrón repetido a lo largo de un área seleccionada						
Items.WandOfTorchesConfirm.DisplayName	Wand of Torches (Confirm)		Varita de Antorchas (Confirmar)						
Items.WandOfTorchesConfirm.Tooltip	Places torches in a tiling pattern across a selected area		Coloca antorchas en un patrón repetido a lo largo de un área seleccionada						
Items.WandOfTorchesStamp.DisplayName	Wand of Torches (Stamp)		Varita de Antorchas (Sello)						
Items.WandOfTorchesStamp.Tooltip	Define a torch pattern once, then stamp it repeatedly		Define un patrón de antorchas una vez, luego estámpalo repetidamente						
Items.TorchWheelWandSolid.DisplayName	Torch Wheel Wand (Tiles)		Varita Rueda de Antorchas (Bloques)						
Items.TorchWheelWandSolidPlatforms.DisplayName	Torch Wheel Wand (Platforms)		Varita Rueda de Antorchas (Plataformas)						
Items.WandOfDelimitationInstant.DisplayName	Wand of Delimitation (Instant)		Varita de Delimitación (Instantánea)						
Items.WandOfDelimitationInstant.Tooltip	Defines canvas and selection regions using geometric shapes		Define regiones de canvas y selección usando formas geométricas						
Items.WandOfDelimitationSelect.DisplayName	Wand of Delimitation (Select)		Varita de Delimitación (Seleccionar)						
Items.WandOfDelimitationSelect.Tooltip	Defines canvas and selection regions using geometric shapes		Define regiones de canvas y selección usando formas geométricas						
Items.WandOfDelimitationConfirm.DisplayName	Wand of Delimitation (Confirm)		Varita de Delimitación (Confirmar)						
Items.WandOfDelimitationConfirm.Tooltip	Defines canvas and selection regions using geometric shapes		Define regiones de canvas y selección usando formas geométricas						
Items.WandOfDelimitationStamp.DisplayName	Wand of Delimitation (Stamp)		Varita de Delimitación (Sello)						
Items.WandOfDelimitationStamp.Tooltip	Define a selection shape once, then stamp it repeatedly		Define una forma de selección una vez, luego estámpala repetidamente						
Items.TorchWheelWandPlatform.DisplayName	Torch Wheel Wand (Platform)		Varita Rueda de Antorchas (Plataforma)						
Items.TorchWheelWandPlatform.Tooltip	""								
Items.WandOfMoldingInstant.DisplayName	Wand of Molding (Instant)		Varita de Moldeo (Instantánea)						
Items.WandOfMoldingInstant.Tooltip	Sculpts custom shapes from geometric primitives for use with Stamp wands		Esculpe formas personalizadas a partir de figuras geométricas para usar con varitas de Sello						
Items.WandOfMoldingSelect.DisplayName	Wand of Molding (Select)		Varita de Moldeo (Seleccionar)						
Items.WandOfMoldingSelect.Tooltip	Sculpts custom shapes from geometric primitives for use with Stamp wands		Esculpe formas personalizadas a partir de figuras geométricas para usar con varitas de Sello						
Items.WandOfMoldingConfirm.DisplayName	Wand of Molding (Confirm)		Varita de Moldeo (Confirmar)						
Items.WandOfMoldingConfirm.Tooltip	Sculpts custom shapes from geometric primitives for use with Stamp wands		Esculpe formas personalizadas a partir de figuras geométricas para usar con varitas de Sello						
Items.WandOfMoldingStamp.DisplayName	Wand of Molding (Stamp)		Varita de Moldeo (Sello)						
Items.WandOfMoldingStamp.Tooltip	Define a mold shape once, then stamp it repeatedly		Define una forma de molde una vez, luego estámpala repetidamente						
Messages.SelectionCancelled	Selection cancelled.		Selección cancelada.	Sélection annulée.					
Messages.InventoryViewNoParticipant	The block picker is only available for the Wand of Building, Wand of Replacement, and Wand of Torches.		El selector de bloques solo está disponible para la Varita de Construcción, Varita de Reemplazo y Varita de Antorchas.						
Messages.SwitchedToMode	Switched to {0} mode		Cambiado a modo {0}	Passage en mode {0}					
Messages.ThicknessChanged	Thickness: {0} — {1}		Grosor: {0} — {1}	Épaisseur : {0} — {1}					
Messages.StampUnlocked	Stamp unlocked. Click to set new anchor.		Sello retirado. Haz clic para establecer un nuevo anclaje.	Tampon relâché. Cliquez pour définir un nouvel ancrage.					
Messages.SelectionUnlocked	Selection unlocked. Move to adjust end point.		Selección desbloqueada. Muévete para ajustar el punto final.	Sélection déverrouillée. Déplacez-vous pour ajuster le point final.					
Messages.SelectionCleared	Selection cleared.		Selección borrada.	Sélection effacée.					
Messages.ModeInstant	Click and drag to select area		Haz clic y arrastra para seleccionar área	Cliquez et faites glisser pour sélectionner une zone					
Messages.ModeSelect	Click start, then click end		Haz clic en inicio, luego en fin	Cliquez sur le début, puis sur la fin					
Messages.ModeConfirm	Click start, click end, click to confirm		Haz clic en inicio, en fin, y luego haz clic para confirmar	Cliquez sur le début, sur la fin, puis cliquez pour confirmer					
Messages.ModeStamp	Click start, click end, click to lock stamp, click to repeat		Haz clic en inicio, en fin, haz clic para sellar la forma y posición, luego haz clic para repetir	Cliquez sur le début, sur la fin, cliquez pour sceller la forme et la position, puis cliquez pour répéter					
Messages.CycleHint	Right-click in inventory to cycle modes		Haz clic derecho en el inventario para cambiar de modo	Cliquez droit dans l'inventaire pour changer de mode					
Messages.PickaxeHint	Uses your strongest pickaxe for tile power checks		Usa tu pico más fuerte para verificaciones de poder de bloque	Utilise votre pioche la plus puissante pour les vérifications de puissance de bloc					
Messages.ObtainHint	"[c/AAAAAA:Obtain other modes by right-clicking this wand in your inventory]"		"[c/AAAAAA:Obtén otros modos haciendo clic derecho en esta varita en tu inventario]"	"[c/AAAAAA:Obtenez d'autres modes en cliquant droit sur cette baguette dans votre inventaire]"					
Messages.NoSuitableItem	No suitable item found for {0}.		No se encontró un objeto adecuado para {0}.	Aucun objet approprié trouvé pour {0}.					
Messages.NeedHave	Need {0} {1}, have {2}. Operation cancelled.		Necesitas {0} {1}, tienes {2}. Operación cancelada.	Besoin de {0} {1}, vous en avez {2}. Opération annulée.					
Messages.NoTilesPlaced	No tiles could be placed.		No se pudo colocar ningún bloque.	Aucun bloc n'a pu être placé.					
Messages.NoWallItemFound	No wall item found in inventory.		No se encontró ningún objeto de pared en el inventario.	Aucun objet de mur trouvé dans l'inventaire.					
Messages.NoWallsPlaced	No walls could be placed.		No se pudo colocar ninguna pared.	Aucun mur n'a pu être placé.					
Messages.ChosenMissingUnderInterrupt	chosen item is not in inventory — Interrupt mode will not substitute. Operation cancelled.		El objeto escogido no está en el inventario — el modo Interrumpir no lo sustituirá. Operación cancelada.						
Messages.NoTilesDestroyed	No tiles were destroyed.		No se destruyó ningún bloque.	Aucun bloc n'a été détruit.					
Messages.VoidRequiresCarefree	Void Everything requires Carefree Mode to be enabled.		Desaparecer Todo requiere que el Modo Despreocupado esté activado.						
Messages.VoidSinglePlayerOnly	Void Everything is currently only available in single-player.		Desaparecer Todo actualmente solo está disponible en un jugador.						
Messages.NoSelectionActive	No selection is active. Use a wand to select an area first.		No hay selección activa. Usa una varita para seleccionar un área primero.						
Messages.NothingToVoid	Nothing to void in the selected area.		No hay nada que desaparecer en el área seleccionada.						
Messages.NoSourceItems	No {0} items in inventory to identify source tile.		No hay objetos de {0} en el inventario para identificar el bloque de origen.	Aucun objet de {0} dans l'inventaire pour identifier le bloc source.					
Messages.SameSourceTarget	Source and target are the same tile [i:{0}].		El origen y el destino son el mismo bloque [i:{0}].	La source et la cible sont le même bloc [i:{0}].					
Messages.NoTargetItems	No {0} items found in inventory.		No se encontraron objetos de {0} en el inventario.	Aucun objet de {0} trouvé dans l'inventaire.					
Messages.NoSourceInSelection	No {0} found in selection.		No se encontró {0} en la selección.	Aucun {0} trouvé dans la sélection.					
Messages.NeedTargetItems	Need {0} [i:{1}], have {2}.		Necesitas {0} [i:{1}], tienes {2}.	Besoin de {0} [i:{1}], vous en avez {2}.					
Messages.NoTilesReplaced	No tiles could be replaced.		No se pudo reemplazar ningún bloque.	Aucun bloc n'a pu être remplacé.					
Messages.SourceMustBeWall	Source type must be Wall for wall replacement.		El tipo de origen debe ser Pared para reemplazar paredes.	Le type source doit être Mur pour remplacer des murs.					
Messages.NoWallSourceItems	No wall items in inventory to identify source wall.		No hay objetos de pared en el inventario para identificar la pared de origen.	Aucun objet de mur dans l'inventaire pour identifier le mur source.					
Messages.TargetMustBeWallOrAir	Target type must be Wall or Air (Remove) for wall replacement.		El tipo de destino debe ser Pared o Aire (Eliminar) para reemplazar paredes.	Le type cible doit être Mur ou Air (Supprimer) pour remplacer des murs.					
Messages.SameWallSourceTarget	Source and target are the same wall [i:{0}].		El origen y el destino son la misma pared [i:{0}].	La source et la cible sont le même mur [i:{0}].					
Messages.NoWallTargetItems	No wall items found for target.		No se encontraron objetos de pared para el destino.	Aucun objet de mur trouvé pour la cible.					
Messages.NoSourceWallsInSelection	No {0} walls found in selection.		No se encontraron paredes de {0} en la selección.	Aucun mur {0} trouvé dans la sélection.					
Messages.NoWallsReplaced	No walls could be replaced.		No se pudo reemplazar ninguna pared.	Aucun mur n'a pu être remplacé.					
Messages.NoWiresSelected	No wires or actuators selected.		No se seleccionaron cables ni actuadores.	Aucun fil ou actionneur sélectionné.					
Messages.NoWireInInventory	No wire in inventory.		No hay cable en el inventario.	Aucun fil dans l'inventaire.					
Messages.NoActuatorsInInventory	No actuators in inventory.		No hay actuadores en el inventario.	Aucun actionneur dans l'inventaire.					
Messages.WiresPlaced	Placed {0} wire segments.		Se colocaron {0} segmentos de cable.	"{0} segments de fil placés."					
Messages.WiresRemoved	Removed {0} wire segments.		Se eliminaron {0} segmentos de cable.	"{0} segments de fil retirés."					
Messages.NoWiringChanges	No changes made.		No se realizaron cambios.	Aucune modification effectuée.					
Messages.NoProtectionTargets	No protection targets selected (tiles or walls).		No se seleccionaron objetivos de protección (bloques o paredes).	Aucune cible de protection sélectionnée (blocs ou murs).					
Messages.NoPositionsToProtect	No positions to protect in selection.		No hay posiciones para proteger en la selección.	Aucune position à protéger dans la sélection.					
